Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36
111,0.283788322481499,1.16456122932438,27.4025879565713,49.4362249130947,3.19844895127064,1.00097409202723,3.19844895127064,1.00097409202723,17.0341324094295,30.7307909138578,5.09968522640107,9.2001962091282,5.93889569642502,395.304810050232,80.2441133994848,2.26959151368141,1.54982661266009,0.0191395487016695,1.53068706395842,0.319263798317224,0.532106330528707,1.80407138885725,0.405775581880222,0.594224418119778,1.46441640319102,1.46441640319102,0.987650522616321,0.0123494773836789,0.00224495638677875,0.0304483079001456,6.74377115467202,0.0576778125436028,95.7287360161072,1.00234377944278,1.00294678527235
112,0.283200662330486,1.16454347960828,27.4512847232924,49.5474939476819,3.20415975391338,1.00097236237207,3.20415975391338,1.00097236237207,17.0644035346806,30.7999585220864,5.10874780772421,9.2209036347458,5.94935894844831,396.613151914393,80.4408534435381,2.27235881819897,1.55078030909621,0.0190696972921065,1.5317106118041,0.319174125959884,0.531956876599807,1.80492441235877,0.405630100674199,0.594369899325801,1.46530027810534,1.46530027810534,0.987703160028373,0.0122968399716271,0.00223529984075122,0.0304057732650354,6.75699052582411,0.0576616865469152,95.9521036061426,1.00233333896729,1.00293623571993
113,0.282658495453387,1.16452413331137,27.499857769189,49.6585742169166,3.20985604747762,1.00097064321968,3.20985604747762,1.00097064321968,17.0945977519802,30.8690087890618,5.11778736431474,9.24157593069311,5.95978689490049,397.921170121372,80.6372983666493,2.27512315008757,1.55173398730859,0.0190032162769724,1.53273077103162,0.319084792139558,0.531807986899264,1.80577567468564,0.405485214523689,0.594514785476311,1.46618116809677,1.46618116809677,0.987753560576493,0.0122464394235075,0.00222605415081225,0.0303679921272856,6.77017892259046,0.0576456148990188,96.1750337644593,1.00232334831586,1.00292607543659
114,0.282158877400211,1.16450330489779,27.5483150954468,49.7694809365702,3.21553877028422,1.00096893420958,3.21553877028422,1.00096893420958,17.124720035065,30.9379511732873,5.12680538521187,9.26221592866055,5.97018181464701,399.229004599794,80.8334748582806,2.27788459654123,1.55268758462594,0.0189398857226615,1.53374769890328,0.318995785043221,0.531659641738702,1.80662522423362,0.405340902400862,0.594659097599138,1.46705919406833,1.46705919406833,0.987801869538859,0.0121981304611412,0.00221719258242827,0.0303346599453651,6.78333845432551,0.0576295956833563,96.3975614588982,1.00231377817848,1.0029162793832
115,0.281699052987093,1.16448110115199,27.5966641829301,49.8802283362068,3.22120879963453,1.00096723500432,3.22120879963453,1.00096723500432,17.1547750342267,31.006794520215,5.13580326262182,9.282826276803,5.98054583855781,400.536786367762,81.0294078824822,2.28064323919637,1.55364104270322,0.0188795002594053,1.53476154244381,0.318907093613064,0.53151182268844,1.80747310637132,0.405197144624215,0.594802855375785,1.46793446910247,1.46793446910247,0.987848222504114,0.0121517774958857,0.00220869019065462,0.030305491512513,6.79647109334463,0.0576136271059815,96.6197193956157,1.00230460120936,1.00290682419853
116,0.281276444223261,1.1644576216917,27.6449120259381,49.9908297226732,3.2268669557691,1.0009655452879,3.2268669557691,1.0009655452879,17.1847670972964,31.0755471017128,5.14478229819989,9.30340945155555,5.99088095908338,401.844638095795,81.2251207885318,2.28339915450144,1.55459430723386,0.0188218681158576,1.535772439118,0.318818707495838,0.531364512493063,1.80831936364163,0.405053922768011,0.594946077231989,1.46880709898158,1.46880709898158,0.987892746018511,0.0121072539814892,0.00220052369982803,0.0302802197413632,6.80957868379132,0.0575977074874041,96.8415381642685,1.00229579189466,1.00289768808604
117,0.28088863899721,1.16443295944678,27.6930651637818,50.101297539527,3.23251400557078,1.00096386476431,3.23251400557078,1.00096386476431,17.2147002892731,31.1442166530066,5.15374370892707,9.32396776869314,6.00118903921616,403.152674634526,81.4206354145288,2.28615241406198,1.55554732768109,0.0187668102177116,1.53678051746338,0.318730616995616,0.531217694992693,1.80916403594975,0.404911219577849,0.595088780422151,1.46967718267372,1.46967718267372,0.98793555818987,0.0120644418101299,0.00219267139138396,0.0302585945235408,6.82266294993393,0.0575818352549768,97.0630463739523,1.00228732642916,1.00288885070844
118,0.280533380475542,1.16440720110603,27.7411297103225,50.2116434226598,3.23815066602873,1.00096219315614,3.23815066602873,1.00096219315614,17.2445784106852,31.2128104072571,5.16268863260712,9.34450339368223,6.01147182087595,404.461003509315,81.6159721843892,2.28890308496248,1.55650005702715,0.0187141593460844,1.53778589768107,0.31864281302974,0.531071355049567,1.81000716073852,0.404769018891946,0.595230981108054,1.47054481278606,1.47054481278606,0.987976769251247,0.0120232307487529,0.00218511299924475,0.0302403816597668,6.83572550392812,0.0575660089357897,97.2842707804737,1.00227918260127,1.00288029308939
119,0.280208557171026,1.16438042753421,27.7891113815998,50.3218782523559,3.24377760747853,1.00096053020332,3.24377760747853,1.00096053020332,17.2744050147658,31.2813351279204,5.17161813300828,9.36501835136897,6.02173093275584,405.76972538383,81.8111501986534,2.29165123006683,1.55745245153914,0.0186637593517225,1.53878869218741,0.318555287087737,0.530925478479562,1.81084877315206,0.404627305567752,0.595372694432248,1.47141007598796,1.47141007598796,0.988016482086963,0.0119835179130369,0.00217782961226527,0.030225361856292,6.84876785307913,0.0575502271500371,97.5052364055027,1.00227133968581,1.00287199752183
120,0.279912193638374,1.16435271416125,27.8370155216746,50.4320122020137,3.24939545663274,1.00095887566192,3.24939545663274,1.00095887566192,17.3041834235163,31.3497971390347,5.18053320467266,9.3855145350464,6.03196789766308,407.078934494509,82.0061873195,2.29439690829863,1.55840447055044,0.0186154644212995,1.53978900612914,0.318468031193007,0.530780051988346,1.81168890618846,0.404486065413519,0.595513934586481,1.47227305340585,1.47227305340586,0.988054792723532,0.011945207276468,0.00217080358325434,0.0302133297836541,6.86179140663584,0.0575344886048271,97.7259666481143,1.0022637783441,1.00286394748259
